Isabo Kelly
Isak Dinesen
Isobelle Carmody
Israel Abrahams
Israel Zangwill
Italo Calvino
Ivan Goncharov
Ivan Turgenev
Izaak Walton
Jaci Burton
Jack Chalker
Jack Dann
Jack Douglas
Jack Finney
Jack Higgins
Jack Kerouac
Jack London
Jack McDevitt
Jack McKinney
Jack Sharkey
Jack Vance
Jack Williamson
Jack Womack
Jack Yeovil
Jackie Kessler
Jackson Gregory
Jacob Abbott
Jacob Bryant
Jacob Kainen
Jacob Riis
Jacqueline Lichtenberg
Jacques Futrelle
Jagadis Bose
James Allen
James Axler
James Baldwin
James Barclay
James Beck
James Blish
James Boswell
James Bryce
James Cabell
James Cain
James Carson
James Causey
James Clavell
James Clemens
James Connolly
James Cook
James Cooper
James Corey
James Curwood
James Dashner
James Dorsey
James Driscoll
James Ellroy
James Frazer
James Froude
James Gardner
James Glass
James Goss
James Grippando
James Hall
James Halperin
James Harmon
James Hay
James Hendryx
James Herbert
James Hogan
James Hogg
James Huneker
James Johonnot
James Jones
James Joyce
James Kelly
James Knowles
James Legge
James Loewen
James Lowell
James Maxey
James McCabe
James McCann
James McKimmey
James Michener
James Mille
James Milne
James Morrow
James Otis
James Parton
James Patterson
James Payn
James Richardson
James Riley
James Rollins
James Rouch
James Runciman
James Schmitz
James Seigneur
James Stalker
James Stephens
James Stevenson
James Taylor
James Tennent
James Tiptree
James Tyler
James Walter
James Ward
James Weir
James White
James Zerbe
Jamie McGuire
Jan Siegel
Jana Oliver
Jane Abbott
Jane Addams
Jane Andrews
Jane Austen
Jane Austin
Jane Fancher
Jane Green
Jane Jensen
Jane Lindskold
Jane Stewart
Jane Yolen
Janet Aldridge
Janet Evanovich
Janet Gleeson
Janet Kagan
Janet Morris
Janet Wheeler
Janny Wurts
Jaqueline Carey
Jason Hightman
Jasper Fforde
Jay Blakeny
Jay Caselberg
Jean Auel
Jean Baird
Jean Fabre
Jean Fontaine
Jean Ingelow
Jean Johnson
Jean Lorrah
Jean Plaidy
Jean Racine
Jean Regnard
Jean Stine
Jean Webster
Jean-Baptiste Poquelin
Jean-Jacques Rousseau
Jean-Paul Sartre
Jeanie Lang
Jeannette Walls
Jedediah Berry
Jeff Grubb
Jeff Head
Jeff Hobbs
Jeff Lindsay
Jeff Long
Jeff Somers
Jeff Vandermeer
Jefferson Bass
Jeffery Deaver
Jeffery Farnol
Jeffrey Archer
Jeffrey Carver
Jeffrey Cohen
Jeffrey Eugenides
Jeffrey Ford
Jeffrey Lord
Jennette Lee
Jennifer Echols
Jennifer Fallon
Jennifer Roberson
Jennifer Saginor
Jennifer Weiner
Jenny Nimmo
Jeremy Clarkson
Jerome Bigge
Jerome Bixby
Jerome Jerome
Jerry Ahern
Jerry Davis
Jerry Olton
Jerry Pournelle
Jesse Bone
Jesse Fewkes
Jessica Sorensen
Jessie Flower
Jessie Weston
Jill Myles
Jill Shalvis
Jilly Cooper
Jim Butcher
Jim Kelly
Jim Stark
Jim Theis
Jim Thompson
Jimmy Buffett
Jo Clayton
Jo Nesbo
Jo Walton
Joan Aiken
Joan Conquest
Joan Rivers
Joan Vinge
Joanna Mathews
Joanna Russ
Joanna Wylde
Joanne Bertin
Jodi Compton
Jodi Picoult
Jody Nye
Joe Abercrombie
Joe Gores
Joe Haldeman
Joe Posnanski
Joel Harris
Joel Rosenberg
Johann Goethe
Johann Wyss
Johanna Spyri
John Abbott
John Acton
John Adams
John Argo
John Ashton
John Astor
John Aubrey
John Bailey
John Bangs
John Banville
John Barnes
John Barrow
John Berryman
John Betancourt
John Birmingham
John Blaine
John Bourinot
John Brown
John Brownlie
John Brunner
John Buchan
John Bunyan
John Burdett
John Burroughs
John Campbell
John Carr
John Carre
John Chancie
John Chapman
John Christopher
John Cleland
John Cooke
John Dalmas
John Dent
John Dewey
John Drinkwater
John Dryden
John Evelyn
John Falkner
John Finnemore
John Fiske
John Flanagan
John Fowles
John Fox
John Franklin
John Galsworthy
John Galt
John Gay
John Goldfrap
John Gould
John Gray
John Green
John Grisham
John Habberton
John Hartley
John Hawks
John Hay
John Hemry
John Holmes
John Hutcheson
John Irving
John Keats
John Kessel
John Langworthy
John Leighton
John Locke
John Logan
John Lubbock
John Lydgate
John MacDonald
John MacDuff
John Marco
John Marshall
John Masefield
John McGovern
John McMaster
John Meaney
John Mill
John Miller
John Milton
John Mitchell
John Morley
John Morressy
John Muir
John Munro
John Musick
John Norman
John Oxenham
John Passos
John Powell
John Powys
John Rae
John Richardson
John Ringo
John Roberts
John Rockefeller
John Runciman
John Ruskin
John Sandford
John Saul
John Scalzi
John Scott
John Shirley
John Shors
John Sousa
John Spargo
John Steakley
John Steinbeck
John Stith
John Streeter
John Toole
John Tyndall
John Updike
John Varley
John Webster
John West
John Wetterau
John Whittier
John Wright
John Wyndham
Johnathan Kellerman
Johnny Gruelle
Jojo Moyes
Jon Fink
Jon Grimwood
Jon Krakauer
Jon Scieszka
Jonas Lie
Jonathan Carroll
Jonathan Dunn
Jonathan Franzen
Jonathan Lethem
Jonathan Maberry
Jonathan Strahan
Jonathan Stroud
Jonathan Swift
Jose Rizal
Joseph Altsheler
Joseph Bachelor
Joseph Badger
Joseph Bates
Joseph Butler
Joseph Conrad
Joseph Devlin
Joseph Fanu
Joseph Heller
Joseph Hergesheimer
Joseph Hocking
Joseph Lincoln
Joseph Nassise
Joseph Samachson
Josephine Bacon
